param,pearson_accuracy,pearson_epoch,spearman_accuracy
weight 49,-0.012108048340102512,-0.003099762623120633,-0.01789145758716751
weight 50,0.01986946460860302,-0.013436306803294872,-0.007932850064477066
weight 51,0.011633504513105672,-0.0021393614042529477,-0.02242822468097794
weight 52,0.016390634891285144,-0.006776288756358348,-0.00852069490715232
weight 53,0.04062988753533685,-0.0036268764836124906,0.014006421766887165
weight 54,0.0426163205987939,-0.005081206885698434,-0.0010252425977961225
weight 55,0.01817232762517529,-0.005699363666668583,-0.025526714158007044
weight 56,0.016135264780907484,-0.0045536854916591075,-0.029210427608464252
weight 57,0.0463718022091093,-0.013738253683558573,-0.00897499514480743
weight 58,0.020270595044299893,-0.008932672442943209,-0.016098859950145247
weight 59,-0.01921572607732546,-0.005403746251548888,-0.04383093780345111
weight 60,0.016269477379998,-0.01034159078969824,-0.028058563416059727
weight 61,0.03189150637879069,-0.003872099354599759,-0.01967098969431521
weight 62,0.03905104123263288,0.0026135008688012796,0.0003898879102547075
weight 63,0.002274543561541369,6.453036381674199e-05,-0.017203355403562538
weight 64,-0.03169247167100551,-0.0046345876672035085,-0.04259477614707239
weight 65,-0.0042975436404837685,-0.014509597707430417,-0.042687908560540014
weight 66,0.01816937633566683,-0.00972718936457485,-0.012669371675169197
weight 67,0.0718324409072938,-0.011823126362989857,0.0041375461321603805
weight 68,0.024818562899805694,-0.0073393805225389136,0.0017378326343928882
weight 69,-0.022261776953335546,-0.008232265524549021,-0.04256698843974415
weight 70,0.022593761069800232,-0.004142140989158999,-0.011492202158478633
weight 71,0.04451344056798318,-0.012853266216275513,0.007904671348005314
weight 72,0.09159833029434904,-0.013831138656860585,0.03407401859680925
weight 73,0.034267051279151514,-0.006696336661742799,-0.008783450190296976
weight 74,-0.010354579572462407,-0.002361409209131436,-0.018004952818679944
weight 75,-4.6310762109501736e-05,-0.012574934837048565,-0.009868906526502408
weight 76,0.00015480548476937443,-0.0034725810556465726,-0.018429302148999873
weight 77,0.02408781704649611,-0.0065833119217781795,0.0022057815373542375
weight 78,0.015403820529582724,-0.0013272004512818831,-0.007059577219200245
weight 79,-0.0054188244855456385,-0.002727654749210587,-0.019351226753336944
weight 80,0.005610246547202218,-0.006062481447894901,-0.018407520659033783
weight 81,0.012301789614600026,-0.007528236888216305,-0.03287406540703514
weight 82,0.02019030169362711,-0.012211032591725146,-0.03307902234537581
weight 83,0.0006210374093435203,-0.00944713620153326,-0.03634774165653543
weight 84,-0.03869982491522214,-0.004213797540436108,-0.04835125147776394
weight 85,-0.001976584122971609,-0.00806047330772142,-0.03169700122007297
weight 86,0.0216316055334096,-0.007033217466013745,-0.02833842787433895
weight 87,0.033975119280215495,-0.0020497275999149214,0.0003228987327923381
weight 88,0.022515890393811834,-0.003247481554105329,-0.013287701457543547
weight 89,-0.03221367333653786,-0.005122334191146929,-0.036967214259680026
weight 90,-0.004533761105588162,-0.014544812498339518,-0.023230657119616072
weight 91,0.018259228687064182,-0.00979842172576015,-0.017345013987992153
weight 92,0.049481334631813846,-0.01155833765559241,-7.085688818113813e-05
weight 93,0.0042556833234289205,-0.009386569293756324,-0.020576638771831156
weight 94,-0.052489477425576476,-0.007083141463312898,-0.05299466694250945
weight 95,0.03987626769013296,-0.005391773953106695,0.013359557175632437
weight 96,0.05727522081053621,-0.01549384464583214,0.0189576898606307
weight 97,0.07096346772081374,-0.012382229239675541,0.01605337509135061
weight 98,0.04182567560663405,-0.003158782754822829,0.0016105228290418194
weight 99,-0.01690844706332461,-0.001457507885583139,-0.028594840601041872
weight 100,0.009609203420454336,-0.0097779056478234,-0.009818348022704908
weight 101,-0.005613322056446695,-0.0028559865198981103,-0.020568005385243237
weight 102,0.000656620931450712,-0.006188798446612994,-0.030101360442615334
weight 103,0.012136497309004356,-0.005949443123508473,-0.017615095136299688
weight 104,0.015652596062607275,-0.00385391633657666,-0.012296840143727058
weight 105,0.02242768923436937,-0.006984467962489697,-0.008058664857574518
weight 106,-0.006535634906546857,-0.006390423229939281,-0.04246012141936647
weight 107,0.0029152091689301426,-0.015312288885984413,-0.040568041411006416
weight 108,-0.010268841032688731,-0.010172632376267792,-0.040679812997781006
weight 109,-0.019145984624120805,-0.008060297640359681,-0.041306926832087275
weight 110,0.0026450653348682246,-0.008764275152657408,-0.025686984819241754
weight 111,-0.004709078046880523,-0.006538287344936176,-0.04374058325176307
weight 112,0.015399426855192366,-0.0009515633712691943,-0.010877838995500233
weight 113,0.007042148276437932,-0.000980390040808258,-0.020498485957789334
weight 114,-0.04326485421037426,-0.00363693114749687,-0.058872908275107376
weight 115,0.006625018068599562,-0.016298070192843125,-0.024252077234217507
weight 116,0.018185805174894654,-0.012772610646805377,-0.01894381512222541
weight 117,0.06108841195470742,-0.010350295182119853,0.007305980986620589
weight 118,0.013533359987833187,-0.009303559243361684,-0.014715176795034006
weight 119,-0.03910893892243408,-0.008647245501894427,-0.05139609908257672
weight 120,0.052627414208812964,-0.004754465356363377,0.009073624322264214
weight 121,0.07604360868626966,-0.015276377915846004,0.026122066089400642
