Experiment,Loss_Type,Epoch,Layer,PD_vs_GT_MSE,PD_vs_GT_MAE,PD_vs_GT_Wasserstein,PD_vs_GT_Cosine_Sim,FN_vs_GT_MSE,FN_vs_GT_MAE,FN_vs_GT_Wasserstein,FN_vs_GT_Cosine_Sim
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_1,0.1094202466012888,0.2676264562772879,0.19861252362503107,0.02366797856067189,0.15888207212346428,0.3179199707983234,0.07352889520239511,0.026827074374873132
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_2,0.02655689267258994,0.127697282536681,0.06763025130126754,0.00491906696350777,0.063617912773382,0.19847000794676098,0.0421854552953489,0.005395754879453409
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_3,0.10266051748321232,0.25965340023861405,0.19587682236288181,0.1025746833774446,0.14168181365882015,0.3032804604196668,0.09187720626093729,0.042570915159702606
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_4,0.08673470858275668,0.2323700498872907,0.16051212943233734,0.018067303519777828,0.09585857915890215,0.24420402181070458,0.12683401634400798,0.006495194310710055
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_5,0.1371781126630349,0.3042780305955179,0.22959755416702937,0.04238340347866158,0.14498246323771496,0.3104258104729192,0.2015984427891051,0.04191378277237674
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_1,0.10987959966556085,0.2677625855642833,0.19847841512448255,0.015288126865959413,0.17217907402573346,0.3316697150472515,0.04588892966650849,0.024479612976138786
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_2,0.02639451884758439,0.1272170360896951,0.06837498380805619,0.007050077143768684,0.0790554679341389,0.2208093853721545,0.06578020398900555,-0.009695306055826377
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_3,0.10239634868066201,0.25942951624321703,0.19628159326834863,0.10339443975938438,0.15519993398315998,0.31661865936489597,0.07941016618464385,0.07290050003763052
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_4,0.08601725340085374,0.23139183580602785,0.16383732993935332,0.019679195494307567,0.0960404147677586,0.2445700104313068,0.12657723525997672,0.005218558743126369
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_5,0.13684711615058576,0.30384903055184076,0.2297953613665532,0.04221448047404162,0.14505664811402894,0.31060663393993604,0.20078533681122118,0.052286602530317125
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_1,0.10994382929868202,0.26787933282122894,0.19768223075064414,0.015037627495899568,0.16862756355152117,0.3281674083264173,0.06269879336736144,0.02087572457708702
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_2,0.026450609023851993,0.1273958104928007,0.06785945096329844,0.008609313512881646,0.07521331260020668,0.21562950566176703,0.06060183064759885,-0.005809553945322137
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_3,0.10239496492449672,0.2594755498516373,0.1960452450565833,0.10227138389822142,0.15396437646770414,0.3154650991454933,0.06575234631537315,0.05787288342352206
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,Layer_4,0.0860757948464688,0.23149530049045083,0.16340326930677768,0.01922176117870839,0.09586768787631501,0.2441168562791273,0.12747929033387403,0.004446940907099714
