Experiment,Loss_Type,Epoch,Layer,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_Wasserstein,PD_vs_FN_Cosine_Sim
sinkhorn 2025-10-22 10:25:31.722454 800_epoch199,sinkhorn 2025-10-22 10:25:31.722454 800,199,Layer_3,0.059434344498089244,0.2013310187330601,0.13482987515931194,0.25999158771266917
sinkhorn 2025-10-22 10:25:31.722454 800_epoch199,sinkhorn 2025-10-22 10:25:31.722454 800,199,Layer_4,0.02313530222066085,0.12261698854375265,0.036786713607555366,-0.0924134410604736
sinkhorn 2025-10-22 10:25:31.722454 800_epoch199,sinkhorn 2025-10-22 10:25:31.722454 800,199,Layer_5,0.024200871058030458,0.12703990763637033,0.04231133965811052,0.09195641131845246
sinkhorn 2025-10-22 10:25:31.722454 800_epoch249,sinkhorn 2025-10-22 10:25:31.722454 800,249,Layer_1,0.06821751313510195,0.211245892290693,0.14323104377048865,-0.07664873897482609
sinkhorn 2025-10-22 10:25:31.722454 800_epoch249,sinkhorn 2025-10-22 10:25:31.722454 800,249,Layer_2,0.05369140578948445,0.1836083768682223,0.11943718125460065,-0.1736185750588845
sinkhorn 2025-10-22 10:25:31.722454 800_epoch249,sinkhorn 2025-10-22 10:25:31.722454 800,249,Layer_3,0.061304080323499134,0.20499009801197776,0.13798680146699052,0.2613669914235674
sinkhorn 2025-10-22 10:25:31.722454 800_epoch249,sinkhorn 2025-10-22 10:25:31.722454 800,249,Layer_4,0.021683353876166708,0.117867183601869,0.035208738933601415,-0.0639426871832447
sinkhorn 2025-10-22 10:25:31.722454 800_epoch249,sinkhorn 2025-10-22 10:25:31.722454 800,249,Layer_5,0.022274381199604565,0.12182118330583701,0.03910980711474309,0.11952302678283903
sinkhorn 2025-10-22 10:25:31.722454 800_epoch299,sinkhorn 2025-10-22 10:25:31.722454 800,299,Layer_1,0.07619976624315525,0.22134708099665107,0.1514056382776581,-0.12147629566586436
sinkhorn 2025-10-22 10:25:31.722454 800_epoch299,sinkhorn 2025-10-22 10:25:31.722454 800,299,Layer_2,0.0567042153643861,0.18824552302237524,0.12630777348787747,-0.14467444400459648
sinkhorn 2025-10-22 10:25:31.722454 800_epoch299,sinkhorn 2025-10-22 10:25:31.722454 800,299,Layer_3,0.06314234330222789,0.20950279190137858,0.14912839163289565,0.26259215021080357
sinkhorn 2025-10-22 10:25:31.722454 800_epoch299,sinkhorn 2025-10-22 10:25:31.722454 800,299,Layer_4,0.02227079435071637,0.11915578342845162,0.03761993458227607,-0.07650075575520102
sinkhorn 2025-10-22 10:25:31.722454 800_epoch299,sinkhorn 2025-10-22 10:25:31.722454 800,299,Layer_5,0.022138952708866278,0.12048340839808605,0.040262609242754654,0.1189547684495227
sinkhorn 2025-10-22 10:25:31.722454 800_epoch349,sinkhorn 2025-10-22 10:25:31.722454 800,349,Layer_1,0.07393676057690987,0.2172813737773843,0.14467508973809376,-0.14697121218746276
sinkhorn 2025-10-22 10:25:31.722454 800_epoch349,sinkhorn 2025-10-22 10:25:31.722454 800,349,Layer_2,0.05296124813545942,0.18216707671011373,0.11953111542731712,-0.13677850087134566
sinkhorn 2025-10-22 10:25:31.722454 800_epoch349,sinkhorn 2025-10-22 10:25:31.722454 800,349,Layer_3,0.06628977527975952,0.20891215523547363,0.14523169724922186,0.22605423407842404
sinkhorn 2025-10-22 10:25:31.722454 800_epoch349,sinkhorn 2025-10-22 10:25:31.722454 800,349,Layer_4,0.021694088452515355,0.1184576730837271,0.03620565671650403,-0.069154490778996
sinkhorn 2025-10-22 10:25:31.722454 800_epoch349,sinkhorn 2025-10-22 10:25:31.722454 800,349,Layer_5,0.022072972496672283,0.11979396918746044,0.03777944270034444,0.09018289522997767
sinkhorn 2025-10-22 10:25:31.722454 800_epoch399,sinkhorn 2025-10-22 10:25:31.722454 800,399,Layer_1,0.07577347722086734,0.22676273908040576,0.15401819978471656,-0.1581775274014325
sinkhorn 2025-10-22 10:25:31.722454 800_epoch399,sinkhorn 2025-10-22 10:25:31.722454 800,399,Layer_2,0.05423904995064958,0.184743104814595,0.1258751665717098,-0.145793246053591
sinkhorn 2025-10-22 10:25:31.722454 800_epoch399,sinkhorn 2025-10-22 10:25:31.722454 800,399,Layer_3,0.06227349728558951,0.2111083300047577,0.1489127647410845,0.2817110975778752
sinkhorn 2025-10-22 10:25:31.722454 800_epoch399,sinkhorn 2025-10-22 10:25:31.722454 800,399,Layer_4,0.021754392270472513,0.11794261316314394,0.03796612682994283,-0.08160952751209809
sinkhorn 2025-10-22 10:25:31.722454 800_epoch399,sinkhorn 2025-10-22 10:25:31.722454 800,399,Layer_5,0.021288201625968207,0.1181774228813562,0.03647069799094685,0.10551958302785573
sinkhorn 2025-10-22 10:25:31.722454 800_epoch449,sinkhorn 2025-10-22 10:25:31.722454 800,449,Layer_1,0.07504771834903803,0.21622882163094073,0.1504091144932018,-0.1401467435427561
sinkhorn 2025-10-22 10:25:31.722454 800_epoch449,sinkhorn 2025-10-22 10:25:31.722454 800,449,Layer_2,0.054059969598360326,0.18375151413977872,0.12524755543210947,-0.13449971238511277
sinkhorn 2025-10-22 10:25:31.722454 800_epoch449,sinkhorn 2025-10-22 10:25:31.722454 800,449,Layer_3,0.057006174713353945,0.194526395387145,0.1360109564122183,0.3143993384946429
sinkhorn 2025-10-22 10:25:31.722454 800_epoch449,sinkhorn 2025-10-22 10:25:31.722454 800,449,Layer_4,0.020496638058075094,0.11425713173924229,0.03679034897177407,-0.02855592194026065
sinkhorn 2025-10-22 10:25:31.722454 800_epoch449,sinkhorn 2025-10-22 10:25:31.722454 800,449,Layer_5,0.021669310687291377,0.12021274183505681,0.04116853125640997,0.1295638566862498
sinkhorn 2025-10-22 10:25:31.722454 800_epoch499,sinkhorn 2025-10-22 10:25:31.722454 800,499,Layer_1,0.08357752233263169,0.22949220110660373,0.15405627199025787,-0.16602508713151673
sinkhorn 2025-10-22 10:25:31.722454 800_epoch499,sinkhorn 2025-10-22 10:25:31.722454 800,499,Layer_2,0.059339675144221525,0.19203965047282437,0.1323655822599705,-0.15359981515299745
