param,osc_ratio,osc_power,traj_std,mag_z,traj_z,sw_score,abs_corr_accuracy
weight 2092,0.00033203793590867774,0.0005869878987729008,0.005702046372579522,0.11316161059702846,-1.0630760642255335,0.12029939961491144,0.011754384021758983
weight 2093,0.019394011898123543,0.0169640927964278,0.02929559425137166,-0.5808556002429361,0.025364074667071516,0.014732864815348476,0.012896941389575464
weight 2094,0.0007222665206371,0.003379793012175406,0.012655229225051159,0.8597893310887104,-0.7423051759907559,0.6382260707287793,0.03720289216592428
weight 2095,0.007714058388364597,0.010877059507239504,0.023917149948635707,0.10136463047382523,-0.22275946715760808,0.02257993107297715,0.0049899501087019805
weight 2096,0.0007394022687357986,0.001160279303298301,0.006190893448745907,-0.04069308250987262,-1.0405241028921528,0.042342133172501566,0.022847815983326684
weight 2097,0.0011609278627854797,0.0006396426664923485,0.004933264064738535,-0.4863505239985837,-1.0985422656727852,0.5342766065445504,0.015876070048239675
weight 2098,0.030044314135228824,0.00580436591600543,0.017762395904653644,-0.857325943381845,-0.5066964731940489,0.4344040318893417,0.011305237290416503
weight 2099,0.0001228809321073197,0.00035353546852799926,0.004402257512432309,0.45284408204406784,-1.1230391683223693,0.5085616412784767,0.01868708706509684
weight 2100,0.01477455853979676,0.001193422812293464,0.007513882340091365,-1.0244438664700057,-0.9794907127446791,1.003433252935621,0.023642467805773438
weight 2101,0.877415590253339,0.029208534771841564,0.03946996199308399,-0.9520976217343147,0.4947377481317655,0.4710386333784443,0.020811322406662745
weight 2102,0.24106933367662797,0.0066382660527944375,0.01879201174600522,-0.9445796163237918,-0.45919724946033935,0.4337483617121879,0.006205395776122235
weight 2103,0.2633290812115373,0.010911677554017545,0.02348012915733349,-0.8558884568943843,-0.2429205286998408,0.20791287645687473,0.017820752171597957
weight 2104,0.0014438898322063445,0.007102313562466004,0.019564002014609783,1.0838952054601898,-0.42358305529588347,0.45911964274938655,0.020779478662394095
weight 2105,0.00016678354674031144,0.0012243096877254018,0.007917192459529656,1.4957806751184282,-0.960884824191021,1.4372729510394975,0.02646565942299115
weight 2106,0.0034595877434766566,0.04242474896233119,0.04717179706475457,2.5408642903527703,0.8500461772922818,2.159851977032839,0.007621422224323018
weight 2107,0.010554264013382601,0.02651381918177051,0.036740446600472626,0.6216133354031226,0.36881713083817397,0.22926164685412717,0.024080564355321615
weight 2108,0.002802977800960342,0.001560866659404373,0.00905696076810465,-0.606116977551314,-0.908303941380857,0.550538439647711,0.023536856091312657
weight 2109,0.0045730273285603164,0.004502430468649102,0.014420745574206336,-0.42400356636290576,-0.6608566854897162,0.2802055915024088,0.0038163327681882213
weight 2110,0.013722422771159905,0.04569077565952263,0.0483871222738756,0.8888169342832116,0.9061127233756044,0.8053683329057165,0.0011353748968594723
weight 2111,0.004967200484085744,0.014372601127647492,0.027272400942804028,0.5623779018310407,-0.06797181602206888,0.03822584727813661,0.012436862272780498
weight 2112,5.951719581176028e-05,0.0002408669537966017,0.0033108613851685225,0.722796252643751,-1.173388499353403,0.8481208102279141,0.010983633291799145
weight 2113,0.019488360012929033,0.0013102372229994816,0.008439605972419302,-1.0231414008415707,-0.9367843438626638,0.9584628458660975,0.013744844793721681
weight 2114,0.00582391297210904,0.055352796536099,0.05240412907875899,2.1955790177049725,1.0914291271272412,2.3963188908326236,0.016337341000278994
weight 2115,0.0009657444547663889,0.0014207962238780977,0.008803623556891054,-0.1369842864564911,-0.919991136150231,0.12602432933183594,0.0173663679270596
weight 2116,0.0011959361179921834,0.0011319654594459027,0.006954592807573084,-0.2662173697027843,-1.0052923929151538,0.2676262966240902,0.0068791423809246915
weight 2117,0.001093153074142261,0.0011863374549315998,0.008118095200389615,-0.2546967931060922,-0.9516165866080638,0.24237369287563973,0.0027150105484501546
weight 2118,0.04017964599757307,0.011612438975402095,0.024708706708731747,-0.5001547370062367,-0.18624261287496927,0.09315012506183461,0.016222108411233543
weight 2119,0.01794210143542142,0.04944145057874389,0.05048538919328237,0.7609586366690992,1.0029119817544498,0.7631745343349707,0.020215085432525107
weight 2120,0.0013732519539824864,0.0002584383146659043,0.0037311069104452124,-0.8382546645013917,-1.1540013304438759,0.9673469980853909,0.019526691417611923
weight 2121,0.001765497542879387,0.004236805024331597,0.014333442203652033,0.1706651858680291,-0.6648842481632102,0.11347259379349905,0.01689546945085792
weight 2122,0.0030185697447547037,0.004908700143030902,0.01572075403049678,0.17214880428633444,-0.6008834507733625,0.10344136756608086,0.013239823933279202
weight 2123,0.0018773972540219663,0.0066831702290243164,0.017662990786792742,0.4435961174675214,-0.5112823252603425,0.22680285441525436,0.024635980102753478
weight 2124,0.01340578750295541,0.00466244388629229,0.015390996703375502,-0.5496482250981383,-0.6160961314933895,0.3386361451651707,0.02672000497078332
weight 2125,0.0004992473889971845,0.0005354601885563985,0.005453313181765946,-0.26275453505188706,-1.074550861917986,0.2823431121128649,0.017360987639161014
weight 2126,0.01082321974952651,0.00525111873890991,0.01651557698686568,-0.4167365231247307,-0.5642159171972513,0.23512937962441344,0.004299536832735006
weight 2127,0.0006401581558734966,0.0018722442302769012,0.01018469514863261,0.4965178971191006,-0.8562782192604814,0.4251574607761024,0.018892224674629716
weight 2128,0.0005677532503513726,0.006520038565832692,0.01800055426992035,2.2007296130936917,-0.49570952347792174,1.090922627810425,0.012684867044381997
weight 2129,0.01804202108028726,0.02225423286110039,0.03372104600461096,0.08324500052721413,0.2295232518160109,0.01910666321843173,0.021894660720063415
weight 2130,0.0007447481978001263,0.006733659791032016,0.018969689892375394,1.7929900199428666,-0.45100043110530214,0.8086392719617371,0.021205526853167057
weight 2131,0.6271751874242109,0.03791302224380123,0.044542829538529005,-0.7418824974286288,0.7287641304339865,0.5406573531227689,0.015671134625311108
weight 2132,0.0027511117520903805,0.0041187220082916035,0.014669050536876388,-0.026815461758580253,-0.6494016432279608,0.01741400492993856,0.01698345484168552
weight 2133,0.018947374194729562,0.0008861370512136989,0.006933637933787053,-1.0058963549272493,-1.0062591032145678,1.0121923640358965,0.017094289587058536
weight 2134,0.0030810297429677866,0.022134681320567,0.03455564650924554,1.6033259887861488,0.2680258413312085,0.4297327970725993,0.004884476577546003
weight 2135,0.004436936242229868,0.051555260347280175,0.0518095149216922,2.4900343227119732,1.06399781755777,2.6493910850094795,0.022048257190601758
weight 2136,0.021884226322117784,0.0319867676878084,0.04144218374644112,-0.3670168145333074,0.5857221702364477,0.21496988512171664,0.015833461488121897
weight 2137,0.0021221173966444206,0.001287278961918898,0.008064735419258786,-0.5071944426066207,-0.9540782311171343,0.4839031766345656,0.021131626186935665
weight 2138,0.0016710038913363824,0.015434081245809987,0.028559193192351492,1.939361591751621,-0.00860828400820235,0.016694575376397333,0.006256256663101343
weight 2139,0.00016876165540113147,0.0008617471096052994,0.006918836252558214,0.9340616221550526,-1.0069419485439488,0.9405458298729303,0.006384772646553236
weight 2140,0.017680426174189506,0.0010820783520265958,0.007442918596077855,-1.059286809360826,-0.9827644801232528,1.0410294505029114,0.029005562246218877
weight 2141,0.14172494898869736,0.06875279037828884,0.05914731114974984,-0.10144247362378253,1.4025120582587989,0.14227429247695517,0.010790579826555473
weight 2142,0.004183021942978042,0.02403420255574551,0.03536692131628167,1.3898095268655724,0.3054523474330829,0.42452058246595137,0.027012761009937956
weight 2143,0.0010570812955120236,0.006960845787658804,0.018843692015853303,1.423510883798079,-0.4568130857737063,0.6502783994602562,0.005732312924550149
weight 2144,0.032963399478814485,0.011214604896956786,0.02325518638337365,-0.887792020849224,-0.25329780410536873,0.2248757693833762,0.017668872234010886
weight 2145,0.0008734866908558158,0.0021355433625975984,0.01029925373119765,0.41375935338558234,-0.8509932930527314,0.3521064346689655,0.0007850007595539617
weight 2146,0.002496289236276919,0.0007214947589346433,0.006137979543593598,-0.665638045739816,-1.0429651778237066,0.6942373027412517,0.012437418846070454
weight 2147,0.0056563886084862,0.0031824467877155298,0.01219601695007386,-0.39449047839529205,-0.7634899963037179,0.3011895338918735,0.0013657831402977584
weight 2148,0.01198445046204481,0.003482578680158564,0.012997179088648817,-0.5889798119157509,-0.7265300175050287,0.42791151306125896,0.010869489900316413
weight 2149,0.0032841514242083186,0.017632139625020426,0.030460890046502626,1.1894229674136585,0.07912261592671054,0.09411025662507924,0.014135336507274585
weight 2150,0.0018890773059399566,0.030064891408967655,0.039398479859452,2.9446911949106993,0.4914400659070131,1.4471392349027152,0.008142062652220743
weight 2151,0.08432683281750057,0.009802771298020655,0.022344770398139067,-1.1208303623109905,-0.29529798595633616,0.33097894858914606,9.523374821655589e-05
weight 2152,0.0006335292533557231,0.001970308835710398,0.009881205798909373,0.46313874638214375,-0.8702790804985708,0.40305996234471286,0.009920381256184215
weight 2153,0.025726481179523142,0.04507700385379442,0.048702346616136025,0.2458862213087133,0.9206549545243446,0.2263763678971364,0.0016110091140644725
weight 2154,0.0017515524089690392,0.011252788971782382,0.024029264512286295,1.4728698155252877,-0.21758729077029074,0.32047775281748525,0.016221881311252573
weight 2155,0.0022483146542892577,0.006347991511196403,0.017744061841630916,0.5579805516195464,-0.5075422777422008,0.28319872010483427,0.019315344297613005
weight 2156,0.00042435050734655684,0.001170202161534105,0.007637168544762767,0.46212226815063495,-0.9738031555182094,0.45001612296032045,0.007322700959903295
weight 2157,0.006611049651103206,0.0512169076578308,0.051374738567682265,2.0084618854118754,1.0439402985454993,2.0967143002741295,0.02169269622662256
weight 2158,0.002615262922513046,0.007327078027232108,0.01990657149922503,0.2813075008018458,-0.40777931186015576,0.1147113790980769,0.013395064155342029
weight 2159,0.43734900371781216,0.022791554538516265,0.03453705769019523,-1.2188687587513545,0.26716828413409227,0.32564307486025024,0.025523961329079806
weight 2160,0.0025576538061785965,0.011321233824786415,0.023818299319228388,0.627565154117893,-0.22731973903170113,0.14265794705946874,0.026488614625440075
weight 2161,0.004196180092490718,0.015600900685185482,0.02791227270417426,0.9376348771043519,-0.038452639321844465,0.036054535744875604,0.02459908515972354
weight 2162,0.014032648750373666,0.06570641562494813,0.05760086576837619,1.245149116901543,1.3311699593790802,1.6575050993667246,0.009064796032901843
weight 2163,0.0011212641103290088,0.0003956997034501634,0.004646676147563993,-0.6694084461952613,-1.111763413843332,0.7442238193976042,0.004447195691249952
weight 2164,0.3408610433053094,0.0831429081834236,0.06561088122229497,-1.0681894723780248,1.7006956609812593,1.8166652007791675,0.013494385525684292
weight 2165,0.00036318134403295324,0.002023276228996801,0.010407382348283678,1.1816696162478566,-0.8460050001684225,0.9996984038927876,0.006528017626291075
weight 2166,0.0008929253161946637,0.007901991856547507,0.02037300473225163,1.7497714681109255,-0.3862613673972143,0.6758691199051572,0.0039375961592380505
weight 2167,0.006330241894118536,0.02138876821431009,0.03332445275768201,0.775648181755127,0.21122723245559774,0.16383801879135193,0.005615051809977096
weight 2168,0.00012520748478488577,0.000989745936221701,0.00731196862907068,1.5752842307158785,-0.9888055893709802,1.5576498521798254,0.009144303546693136
weight 2169,0.0007181495838838377,0.0005858061720040001,0.005654129182947233,-0.34369067348776405,-1.0652866258929286,0.36612907791064836,0.020305283129697076
weight 2170,0.036688799046991065,0.022697685085608175,0.033326762924873965,-0.16222396776374534,0.2113338073002202,0.03428340874286049,0.0225330415782816
